RA,ANO,Fase,IDADE,IDADE,Gênero,Instituição de ensino,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE,INDICADORES_MEDIA,IEG_IDA_RATIO,INDE_IDA_RATIO,DESALINHAMENTO_IAA_IDA,CATEGORIA_RISCO
RA-1275,2024,ALFA,,8,Masculino,Pública,10.0,8.0,8.6666666665,10.002,6.26,5.625,5.446666667,7.611366666700001,7.7143333333571436,1.0831979335708037,0.9513019205974256,2.0020000000000007,Alto Risco
RA-1276,2024,ALFA,,8,Feminino,Pública,10.0,8.0,9.3333333335,10.002,3.76,7.5,7.05,8.002866666700001,7.949333333357143,1.1665208515810526,1.0002333041744784,2.0020000000000007,Alto Risco
RA-1277,2024,ALFA,,8,Masculino,Pública,10.0,8.0,9.0833333335,10.002,3.76,7.5,7.046666667,7.952200000100001,7.913142857214287,1.1352747573428323,0.993900762417198,2.0020000000000007,Alto Risco
RA-868,2024,ALFA,,8,Masculino,Pública,5.0,7.0,9.75,8.002,3.76,6.875,7.213333333,7.156366666600001,6.800047619,1.3926581916869019,1.0221920677903158,1.0020000000000007,Muito Alto Risco
RA-1278,2024,ALFA,,9,Masculino,Pública,5.0,7.5,4.1666666665,9.002,3.76,5.0,4.173333333,5.444199999900001,5.5145714285,0.5554814913344888,0.7257965604452741,1.5020000000000007,Muito Alto Risco
RA-1279,2024,ALFA,,9,Feminino,Pública,5.0,8.25,10.0,10.002,6.26,7.5,7.78,8.0822,7.827428571428571,1.21197430614471,0.9795418737122774,1.7520000000000007,Muito Alto Risco
RA-861,2024,ALFA,,9,Feminino,Pública,5.0,10.0,10.0,9.502,7.51,8.125,9.73,8.959700000000002,8.552428571428573,0.9999000099990002,0.8958804119588043,-0.49799999999999933,Muito Alto Risco
RA-862,2024,ALFA,,10,Masculino,Pública,5.0,7.5,8.6136363635,9.002,7.51,7.1875,6.27,7.346677272700001,7.297590909071429,1.1483317375683242,0.9794263795093988,1.5020000000000007,Muito Alto Risco
RA-1280,2024,ALFA,,9,Masculino,Pública,5.0,8.5,9.5454545455,10.002,6.26,7.5,8.336666667,8.152624242500002,7.8777316017857135,1.1228625509351842,0.9590194380072935,1.5020000000000007,Muito Alto Risco
RA-1281,2024,ALFA,,9,Feminino,Pública,5.0,9.25,9.5454545455,7.918,6.26,7.5,7.78,7.982890909100001,7.607636363642857,1.031829482812669,0.8629219445573453,-1.3319999999999999,Muito Alto Risco
