RA,ANO,Fase,IDADE,IDADE,Gênero,Instituição de ensino,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE,INDICADORES_MEDIA,IEG_IDA_RATIO,INDE_IDA_RATIO,DESALINHAMENTO_IAA_IDA,CATEGORIA_RISCO
RA-29,2022,6,17.0,,Menino,Escola Pública,5.0,3.7,4.0,0.0,8.8,7.555149797579633,7.611,7.396685633864757,5.238021399654232,1.0807889759524452,1.9985640729167136,-3.7,Muito Alto Risco
RA-30,2022,6,16.0,,Menina,Escola Pública,10.0,7.5,6.4,8.8,7.5,7.555149797579633,7.333,7.396685633864757,7.869735685368519,0.8532195707239035,0.9860932720790236,1.3000000000000007,Alto Risco
RA-31,2022,6,17.0,,Menina,Rede Decisão,5.0,8.0,9.5,10.0,9.4,7.555149797579633,10.0,7.396685633864757,8.493592828225662,1.1873515810523685,0.9244701454649116,2.0,Muito Alto Risco
RA-32,2022,6,16.0,,Menina,Rede Decisão,10.0,6.1,5.2,8.8,8.8,7.555149797579633,7.944,7.396685633864757,7.771307113939948,0.8523192919193575,1.2123726657703258,2.700000000000001,Alto Risco
RA-33,2022,6,17.0,,Menina,Escola Pública,5.0,4.8,4.6,0.0,7.5,7.555149797579633,6.0,7.396685633864757,5.065021399654233,0.9581337221412205,1.540655203887681,-4.8,Muito Alto Risco
RA-34,2022,6,17.0,,Menino,Rede Decisão,5.0,3.8,4.8,9.6,8.1,7.555149797579633,7.278,7.396685633864757,6.590449971082805,1.2628255722178374,1.9459841183543165,5.8,Muito Alto Risco
RA-35,2022,6,17.0,,Menina,Rede Decisão,5.0,8.5,9.6,10.0,9.4,7.555149797579633,10.0,7.396685633864757,8.579307113939947,1.129278908363722,0.8700959456375436,1.5,Muito Alto Risco
RA-36,2022,6,17.0,,Menina,Rede Decisão,5.0,6.8,9.0,9.2,6.9,7.555149797579633,8.944,7.396685633864757,7.628449971082804,1.3233348037053374,1.0875879479289452,2.3999999999999995,Muito Alto Risco
RA-37,2022,6,17.0,,Menina,Rede Decisão,5.0,5.9,5.4,0.0,5.0,7.555149797579633,5.222,7.396685633864757,4.868164256797091,0.9150991357397051,1.2534630797940614,-5.9,Muito Alto Risco
RA-38,2022,6,17.0,,Menina,Rede Decisão,5.0,8.6,8.9,9.2,7.5,7.555149797579633,9.833,7.396685633864757,8.084021399654233,1.0347633996046972,0.8599797272252945,0.5999999999999996,Muito Alto Risco
RA-39,2022,6,16.0,,Menina,Rede Decisão,10.0,6.9,4.8,0.0,6.9,7.555149797579633,6.111,7.396685633864757,6.038021399654233,0.6955513693667583,1.0718280877937627,-6.9,Alto Risco
RA-40,2022,5,16.0,,Menina,Rede Decisão,5.0,6.8,7.8,7.9,7.5,7.555149797579633,7.75,7.396685633864757,7.186449971082804,1.1468901632112924,1.0875879479289452,1.1000000000000005,Muito Alto Risco
RA-41,2022,5,17.0,,Menino,Escola Pública,5.0,5.6,6.1,9.2,5.0,7.555149797579633,4.375,7.396685633864757,6.118592828225661,1.0890912337082663,1.3206008987439308,3.5999999999999996,Muito Alto Risco
RA-42,2022,5,15.0,,Menino,Rede Decisão,10.0,4.8,7.9,8.3,5.6,7.555149797579633,6.083,7.396685633864757,7.176878542511376,1.6454905228077483,1.540655203887681,3.500000000000001,Alto Risco
RA-43,2022,5,16.0,,Menina,Escola Pública,5.0,4.3,6.5,6.3,5.6,7.555149797579633,5.958,7.396685633864757,5.887592828225662,1.5112764473378284,1.719759505664905,2.0,Muito Alto Risco
RA-44,2022,5,17.0,,Menina,Escola Pública,5.0,3.0,5.9,5.0,7.5,7.555149797579633,7.292,7.396685633864757,5.892449971082804,1.9660113295568147,2.464740297855634,2.0,Muito Alto Risco
RA-45,2022,5,15.0,,Menina,Rede Decisão,10.0,6.8,8.9,7.9,5.6,7.555149797579633,7.417,7.396685633864757,7.738878542511377,1.308631083664167,1.0875879479289452,1.1000000000000005,Alto Risco
RA-46,2022,5,17.0,,Menina,Escola Pública,5.0,2.1,8.4,8.8,6.3,7.555149797579633,7.083,7.396685633864757,6.462592828225661,3.9980961446930037,3.520554799554858,6.700000000000001,Muito Alto Risco
RA-47,2022,5,17.0,,Menina,Escola Pública,5.0,2.1,6.3,7.9,7.5,7.555149797579633,7.042,7.396685633864757,6.199592828225661,2.9985721085197525,3.520554799554858,5.800000000000001,Muito Alto Risco
RA-48,2022,5,15.0,,Menina,Rede Decisão,10.0,8.1,8.4,6.7,7.5,7.555149797579633,8.5,7.396685633864757,8.107878542511376,1.0369090235773364,0.9130583426570494,-1.3999999999999995,Alto Risco
RA-49,2022,5,17.0,,Menina,Escola Pública,5.0,3.9,7.4,7.5,7.5,7.555149797579633,7.042,7.396685633864757,6.55673568536852,1.8969495001281724,1.8960998805087816,3.6,Muito Alto Risco
RA-50,2022,5,18.0,,Menina,Escola Pública,2.5,7.8,8.4,7.5,7.5,7.555149797579633,7.542,7.396685633864757,6.971021399654234,1.0767850275605693,0.9481714695378486,-0.2999999999999998,Muito Alto Risco
RA-51,2022,5,17.0,,Menina,Escola Pública,5.0,5.0,7.6,8.8,7.5,7.555149797579633,6.5,7.396685633864757,6.8507356853685195,1.5196960607878423,1.4790413185092495,3.8000000000000007,Muito Alto Risco
RA-52,2022,5,13.0,,Menino,Rede Decisão,10.0,6.2,8.9,9.6,7.5,7.555149797579633,7.5,7.396685633864757,8.179307113939947,1.435252378648605,1.1928214213618378,3.3999999999999995,Alto Risco
RA-53,2022,5,17.0,,Menino,Escola Pública,5.0,7.0,7.0,9.2,7.5,7.555149797579633,6.458,7.396685633864757,7.101878542511376,0.999857163262391,1.0565184450599567,2.1999999999999993,Muito Alto Risco
