RA,ANO,Fase,IDADE,IDADE,Gênero,Instituição de ensino,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE,INDICADORES_MEDIA,IEG_IDA_RATIO,INDE_IDA_RATIO,DESALINHAMENTO_IAA_IDA,CATEGORIA_RISCO
RA-861,2023,ALFA,,8,Feminino,Pública,10.0,9.6,10.0,9.5,8.13,8.4375,8.92,7.396685633864757,9.226785714285715,1.0415581710238517,0.7704078360446576,-0.09999999999999964,Alto Risco
RA-862,2023,ALFA,,9,Masculino,Pública,5.0,8.9,9.1,8.5,8.14,7.5,8.585,7.396685633864757,7.960714285714286,1.022357038534996,0.8309949032541014,-0.40000000000000036,Muito Alto Risco
RA-863,2023,ALFA,,7,Masculino,Pública,10.0,6.3,7.6,0.0,3.14,5.9375,6.26,7.396685633864757,5.605357142857143,1.2061577527376606,1.1738907528749019,-6.3,Alto Risco
RA-864,2023,ALFA,,1900-01-08 00:00:00,Feminino,Pública,10.0,6.3,7.6,0.0,8.14,7.5,8.5,7.396685633864757,6.862857142857143,1.2061577527376606,1.1738907528749019,-6.3,Alto Risco
RA-865,2023,ALFA,,8,Masculino,Pública,10.0,7.4,8.7,8.5,7.52,7.5,7.915,7.396685633864757,8.219285714285713,1.1755168220510739,0.9994170563254636,1.0999999999999996,Alto Risco
RA-866,2023,ALFA,,1900-01-07 00:00:00,Feminino,Pública,10.0,8.6,8.3,0.0,8.76,7.5,8.415,7.396685633864757,7.367857142857143,0.9650040692942683,0.8599797272252945,-8.6,Alto Risco
RA-867,2023,ALFA,,8,Masculino,Pública,10.0,8.9,8.6,9.0,8.76,7.5,8.415,7.396685633864757,8.739285714285714,0.966183574879227,0.8309949032541014,0.09999999999999964,Alto Risco
RA-868,2023,ALFA,,1900-01-07 00:00:00,Masculino,Pública,10.0,7.1,9.5,10.0,8.76,7.1875,8.67,7.396685633864757,8.745357142857143,1.3378397408815659,1.041639999136003,2.9000000000000004,Alto Risco
RA-869,2023,ALFA,,8,Feminino,Pública,10.0,9.6,10.0,9.0,8.76,8.125,8.75,7.396685633864757,9.176428571428572,1.0415581710238517,0.7704078360446576,-0.5999999999999996,Alto Risco
RA-870,2023,ALFA,,9,Feminino,Pública,5.0,1.5,8.5,0.0,8.76,5.0,5.165,7.396685633864757,4.846428571428571,5.662891405729514,4.927838530223023,-1.5,Muito Alto Risco
RA-871,2023,ALFA,,9,Masculino,Pública,5.0,6.9,9.5,9.0,3.76,4.375,6.84,7.396685633864757,6.482142857142857,1.3766120852050425,1.0718280877937627,2.0999999999999996,Muito Alto Risco
RA-872,2023,ALFA,,10,Feminino,Pública,5.0,4.3,6.7,0.0,2.52,6.25,8.5,7.396685633864757,4.752857142857143,1.5577772611020693,1.719759505664905,-4.3,Muito Alto Risco
